Time,EP_con_kWh,EP_gen_kWh
18432000,0.366320813573,0.15154
18435600,0.333797295416,0.1466
18439200,0.34655627406,0.1296
18442800,0.34310811606,0.1286
18446400,0.339813426119,0.13067
18450000,0.347495504538,0.1396
18453600,0.309344739105,0.14623
18457200,0.308814325013,0.14673
18460800,0.310530085972,0.14699
18464400,0.31559605335,0.14925
18468000,0.366808895686,0.15173
18471600,0.387355702535,0.16117
18475200,0.404173068348,0.16962
18478800,0.417743701443,0.1796
18482400,0.37206378183,0.17462
18486000,0.376460168508,0.16424
18489600,0.366439375269,0.16928
18493200,0.374960015325,0.1606
18496800,0.374402403784,0.15275
18500400,0.375687558673,0.1466
18504000,0.377648368325,0.14416
18507600,0.380275431159,0.14857
18511200,0.380852434385,0.1546
18514800,0.378211501301,0.16166
18518400,0.383048372473,0.16161
18522000,0.345024708354,0.15069
18525600,0.352415916807,0.1316
18529200,0.339646805889,0.12725
18532800,0.341717715418,0.13326
18536400,0.330880779537,0.12727
18540000,0.285490970994,0.1286
18543600,0.280993526892,0.1256
18547200,0.280816607541,0.1256
18550800,0.287116607039,0.1286
18554400,0.340337139666,0.13064
18558000,0.379033432596,0.15116
18561600,0.407773604727,0.1676
18565200,0.41732014533,0.1756
18568800,0.373209911075,0.17183
18572400,0.379855453902,0.16355
18576000,0.358203242788,0.16941
18579600,0.362082915679,0.16042
18583200,0.367193407686,0.15169
18586800,0.363684392126,0.1435
18590400,0.362809961706,0.1395
18594000,0.374044575289,0.14848
18597600,0.370182793535,0.14945
18601200,0.36832016804,0.1596
18604800,0.373843222623,0.15957
18608400,0.339017882216,0.14956
18612000,0.362969090638,0.14669
18615600,0.355194697238,0.14616
18619200,0.348940696296,0.14669
18622800,0.344021439714,0.1451
18626400,0.283863445311,0.13561
18630000,0.276635278848,0.1296
18633600,0.272388520826,0.1246
18637200,0.272328772457,0.12463
18640800,0.322254816673,0.12459
18644400,0.347658988374,0.1396
18648000,0.379585966766,0.15458
18651600,0.392188939047,0.16461
18655200,0.346235470041,0.16152
18658800,0.339070813969,0.14724
18662400,0.333063670691,0.15452
18666000,0.306760589819,0.1277
18669600,0.309096595148,0.122
18673200,0.316617132727,0.11998
18676800,0.322304789806,0.11997
18680400,0.31956851323,0.12194
18684000,0.313889171419,0.1246
18687600,0.310500663023,0.13337
18691200,0.319713170295,0.13157
18694800,0.302652867816,0.13262
18698400,0.328081230458,0.12356
18702000,0.322675388277,0.12195
